Description,2023,2024
Revenues,"69,787","80,539"
Cost of revenues,"30,612","33,712"
Research and development,"11,468","11,903"
Sales and marketing,"6,533","6,426"
General and administrative,"3,759","3,026"
Total costs and expenses,"52,372","55,067"
Income from operations,"17,415","25,472"
"Other income (expense), net",790,"2,843"
Income before income taxes,"18,205","28,315"
Provision for income taxes,"3,154","4,653"
Net income,"15,051","23,662"
Basic earnings per share,1.18,1.91
Diluted earnings per share,1.17,1.89
Number of shares in basic EPS,"12,781","12,415"
Number of shares in diluted EPS,"12,823","12,527"
