Operating activities,"Quarter Ended March 31, 2023","Quarter Ended March 31, 2024"
,,
Net income,15051,23662
,,
Adjustments:,,
Depreciation of property and equipment,2635,3413
Stock-based compensation expense,5284,5264
Deferred income taxes,-1854,419
"Loss (gain) on debt and equity securities, net",-84,-1781
Other,1104,334
,,
"Changes in assets and liabilities, net of effects of acquisitions:",,
"Accounts receivable, net",4454,3167
"Income taxes, net",4069,3011
Other assets,-746,-1000
Accounts payable,-1105,-2124
Accrued expenses and other liabilities,-4496,-5054
Accrued revenue share,-602,-322
Deferred revenue,-201,-141
Net cash provided by operating activities,23509,28848
