Description,"Quarter Ended June 30, 2023","Quarter Ended June 30, 2024","Year to Date June 30, 2023","Year to Date June 30, 2024"
Revenues,74604,84742,144391,165281
Cost of revenues,31916,35507,62528,69219
Research and development,10588,11860,22056,23763
Sales and marketing,6781,6792,13314,13218
General and administrative,3481,3158,7240,6184
Total costs and expenses,52766,57317,105138,112384
Income from operations,21838,27425,39253,52897
"Other income (expense), net",65,126,855,2969
Income before income taxes,21903,27551,40108,55866
Provision for income taxes,3535,3932,6689,8585
Net income,18368,23619,33419,47281
Basic earnings per share,1.45,1.91,2.63,3.82
Diluted earnings per share,1.44,1.89,2.61,3.78
Number of shares used in basic earnings per share calculation,12668,12343,12725,12379
Number of shares used in diluted earnings per share calculation,12764,12495,12794,12511
