"Quarter Ended September 30, 2023","Quarter Ended September 30, 2024","Year to Date September 30, 2023","Year to Date September 30, 2024"
"76,693","88,268","221,084","253,549"
"33,229","36,474","95,757","105,693"
"11,258","12,447","33,314","36,210"
"6,884","7,227","20,198","20,445"
"3,979","3,599","11,219","9,783"
"55,350","59,747","160,488","172,131"
"21,343","28,521","60,596","81,418"
(146),"3,185",709,"6,154"
"21,197","31,706","61,305","87,572"
"1,508","5,405","8,197","13,990"
"19,689","26,301","53,108","73,582"
1.56,2.14,4.19,5.96
1.55,2.12,4.16,5.90
"12,581","12,290","12,677","12,349"
"12,696","12,419","12,761","12,480"
