Category,2024,2025
Revenues,80539,90234
Cost of revenues,33712,36361
Research and development,11903,13556
Sales and marketing,6426,6172
General and administrative,3026,3539
Total costs and expenses,55067,59628
Income from operations,25472,30606
"Other income (expense), net",2843,11183
Income before income taxes,28315,41789
Provision for income taxes,4653,7249
Net income,23662,34540
Basic net income per share,1.91,2.84
Diluted net income per share,1.89,2.81
Number of shares used in basic earnings per share calculation,12415,12183
Number of shares used in diluted earnings per share calculation,12527,12291
